colorname,hc,hr,sc,sr,lc,lr
black,,,0,20,0,20
dark-grey,,,0,20,20,10
grey,,,0,20,50,20
light-grey,,,0,20,62,12
white,,,0,20,100,25
red,0,20,100,50,50,30
orange,35,15,100,50,50,30
yellow,65,15,100,50,50,30
green,120,40,100,50,50,30
turquoise,180,20,100,50,50,30
blue,230,30,100,50,50,30
purple,280,20,100,50,50,30
pink,317,17,100,50,50,30
pale-red,0,20,35,15,70,30
pale-orange,35,15,35,15,70,30
pale-yellow,65,15,35,15,70,30
pale-green,120,40,35,15,70,30
pale-turquoise,180,20,35,15,70,30
pale-blue,230,30,35,15,70,30
pale-purple,280,20,35,15,70,30
pale-pink,317,17,35,15,70,30
light-red,0,20,100,50,77,22
light-orange,35,15,100,50,77,22
light-yellow,65,15,100,50,77,22
light-green,120,40,100,50,77,22
light-turquoise,180,20,100,50,77,22
light-blue,230,30,100,50,77,22
light-purple,280,20,100,50,77,22
light-pink,317,17,100,50,77,22
dark-red,0,20,100,50,20,20
dark-orange,35,15,100,50,20,20
dark-yellow,65,15,100,50,20,20
dark-green,120,40,100,50,20,20
dark-turquoise,180,20,100,50,20,20
dark-blue,230,30,100,50,20,20
dark-purple,280,20,100,50,20,20
dark-pink,317,17,100,50,20,20
